rang,id,nom,moyenne,mention
1,3,Charlie,18.22,Très bien
2,12,Lina,17.11,Très bien
3,18,Rania,16.89,Très bien
4,6,Fatima,16.44,Très bien
5,8,Hana,15.89,Bien
6,1,Alice,15.22,Bien
7,20,Tania,15.11,Bien
8,16,Paula,14.78,Bien
9,13,Mehdi,14.22,Bien
10,10,Julia,14.11,Bien
11,5,Emma,13.78,Assez bien
12,17,Quentin,13.22,Assez bien
13,14,Nora,12.22,Assez bien
14,7,George,11.78,Passable
15,9,Ibrahim,11.22,Passable
16,2,Bob,10.89,Passable
17,19,Samir,10.78,Passable
18,15,Omar,10.22,Passable
19,4,David,9.89,Insuffisant
20,11,Karim,9.11,Insuffisant
